test_mAP,task_trained,task_evaluating,data_cnt
0.004713569014232428,1,1,50
0.0042695840157101345,1,2,50
0.0034185011182074113,1,3,50
0.001640868592902425,1,4,50
0.007034482931283065,1,5,50
0.016823498555552072,2,1,100
0.02956432753746436,2,2,100
0.023740136802458803,2,3,100
0.026004263788287105,2,4,100
0.01712846499833471,2,5,100
0.04118573008613652,3,1,150
0.06432987353188016,3,2,150
0.04784764577812946,3,3,150
0.05228434829335479,3,4,150
0.038017181610648515,3,5,150
0.03607820791177768,4,1,200
0.05665661633181293,4,2,200
0.06174163742838777,4,3,200
0.04462020161583069,4,4,200
0.02558446837979563,4,5,200
0.10975638852307701,5,1,250
0.1018609962848189,5,2,250
0.10712773769249634,5,3,250
0.10070655098396138,5,4,250
0.08297066652338506,5,5,250
