test_mAP,task_trained,task_evaluating,data_cnt
0.3675920889713523,3,3,13596
0.3269703396432566,3,1,13596
0.3304446881474976,3,4,13596
0.39608144458918226,3,2,13596
0.20050494784058767,3,5,13596
0.369156906490271,1,3,50637
0.4286395013294914,1,1,50637
0.33312358334511577,1,4,50637
0.4569328397189592,1,2,50637
0.19841346722483885,1,5,50637
0.4177171026300015,4,3,89653
0.4109173266502748,4,1,89653
0.4298467734310757,4,4,89653
0.4994406687790449,4,2,89653
0.200089475998782,4,5,89653
0.4404017311265685,2,3,115086
0.4459642283271942,2,1,115086
0.42367254146724087,2,4,115086
0.5152056559539347,2,2,115086
0.2534812760545676,2,5,115086
0.38869317253707664,5,3,141052
0.38442031377342323,5,1,141052
0.3419133331404237,5,4,141052
0.44433380545350687,5,2,141052
0.41785092391194895,5,5,141052
