test_mAP,task_trained,task_evaluating,data_cnt
0.003903261855516899,1,1,50
0.002043035778535135,1,2,50
0.004789655353425014,1,3,50
0.0052763279354297605,1,4,50
0.0005624321708136966,1,5,50
0.009680910479270758,2,1,100
0.024509052057552248,2,2,100
0.021815194247527526,2,3,100
0.02244180502587717,2,4,100
0.012326864562202342,2,5,100
0.03327313163424131,3,1,150
0.04338420643277339,3,2,150
0.043584628061024956,3,3,150
0.0389746120935793,3,4,150
0.03367638434625121,3,5,150
0.047576526533437004,4,1,200
0.06640394717556398,4,2,200
0.06657469998905102,4,3,200
0.07161371417995278,4,4,200
0.06256962200915024,4,5,200
0.054960939709473876,5,1,250
0.053438437191942835,5,2,250
0.06756253996884219,5,3,250
0.06356124480848771,5,4,250
0.06722730936719981,5,5,250
