test_mAP,task_trained,task_evaluating,data_cnt
0.27695109315856664,1,1,37041
0.33866323844618046,1,2,37041
0.2709959978446211,1,3,37041
0.2586090414336082,1,4,37041
0.11698566678901434,1,5,37041
0.3180635747916826,2,1,62474
0.36999402308103047,2,2,62474
0.342885475413098,2,3,62474
0.2922458384285002,2,4,62474
0.1938123751620213,2,5,62474
0.2759902965758496,3,1,76070
0.32750466815956203,3,2,76070
0.3090045444747725,3,3,76070
0.25488018731879936,3,4,76070
0.10938875131081495,3,5,76070
0.3072993848494771,4,1,115086
0.413399391354745,4,2,115086
0.2832877148081025,4,3,115086
0.3201507886869086,4,4,115086
0.16662982814617508,4,5,115086
0.18152205073250216,5,1,141052
0.23645552886162943,5,2,141052
0.19900345625823287,5,3,141052
0.1822286287436865,5,4,141052
0.27235493792818727,5,5,141052
